Audience View,Date,Aggregation,Audience Size
Your total audience,2026-07-23,Monthly,31000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Intimates,"{'name': ""Women's Intimates"", 'id': '955049894411'}",0.132,1.017
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.635,1.145,Women's Outerwear,"{'name': ""Women's Outerwear"", 'id': '958088257491'}",0.043,0.558
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.629,1.294,Travel Destinations,"{'name': 'Travel Destinations', 'id': '958862518888'}",0.961,1.024
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.629,1.294,Travel Ideas,"{'name': 'Travel Ideas', 'id': '904309328219'}",0.702,1.312
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.629,1.294,Travel Tips,"{'name': 'Travel Tips', 'id': '950689877411'}",0.056,1.444
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.629,1.294,Restaurant,"{'name': 'Restaurant', 'id': '945959299598'}",0.014,
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Meal Planning,"{'name': 'Meal Planning', 'id': '956336077278'}",0.803,1.067
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Desserts,"{'name': 'Desserts', 'id': '897118241776'}",0.773,1.052
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Drinks,"{'name': 'Drinks', 'id': '961675572303'}",0.487,1.24
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Fruit,"{'name': 'Fruit', 'id': '919979591528'}",0.454,1.409
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,World Cuisine,"{'name': 'World Cuisine', 'id': '936568516643'}",0.246,0.931
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Appetizers,"{'name': 'Appetizers', 'id': '918804435640'}",0.114,0.576
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Special Diet,"{'name': 'Special Diet', 'id': '933485647561'}",0.089,0.621
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Snacks,"{'name': 'Snacks', 'id': '933786359108'}",0.057,0.425
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Salad,"{'name': 'Salad', 'id': '960683755187'}",0.045,0.512
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Cooking Method,"{'name': 'Cooking Method', 'id': '906644424942'}",0.043,0.289
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Bread,"{'name': 'Bread', 'id': '926528168958'}",0.032,0.378
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Condiments,"{'name': 'Condiments', 'id': '933556278983'}",0.015,0.598
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.622,1.331,Meat,"{'name': 'Meat', 'id': '894405216090'}",0.012,0.193
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,Fabric Crafts,"{'name': 'Fabric Crafts', 'id': '909430966917'}",0.602,1.032
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Projects,"{'name': 'DIY Projects', 'id': '894309586150'}",0.417,0.789
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Stationery,"{'name': 'DIY Stationery', 'id': '902014579881'}",0.266,1.101
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Event,"{'name': 'DIY Event', 'id': '922120925682'}",0.137,0.703
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Techniques and Supplies,"{'name': 'DIY Techniques and Supplies', 'id': '911900736333'}",0.132,0.864
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Bag and Purse,"{'name': 'DIY Bag and Purse', 'id': '954200326838'}",0.108,1.741
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,Woodworking,"{'name': 'Woodworking', 'id': '899049071324'}",0.062,0.563
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Edible,"{'name': 'DIY Edible', 'id': '896201377663'}",0.06,1.384
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,Polymer Crafts,"{'name': 'Polymer Crafts', 'id': '946907157789'}",0.056,1.236
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Home and Decorations,"{'name': 'DIY Home and Decorations', 'id': '947657535178'}",0.05,0.46
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Pottery,"{'name': 'DIY Pottery', 'id': '929616292607'}",0.048,0.882
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Beauty,"{'name': 'DIY Beauty', 'id': '959596817700'}",0.031,2.625
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.621,1.164,DIY Jewelry,"{'name': 'DIY Jewelry', 'id': '905972712093'}",0.023,0.488
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.601,1.361,Cell Phones and Accessories,"{'name': 'Cell Phones and Accessories', 'id': '951444910525'}",0.663,0.937
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.601,1.361,Cameras and Accessories,"{'name': 'Cameras and Accessories', 'id': '899043339668'}",0.097,3.775
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.601,1.361,Computers Tablets and Accessories,"{'name': 'Computers Tablets and Accessories', 'id': '951929919689'}",0.057,0.887
Quotes,"{'name': 'Quotes', 'id': '948192800438'}",0.575,1.143,Quotes by Genres,"{'name': 'Quotes by Genres', 'id': '919926839991'}",0.972,1.007
Quotes,"{'name': 'Quotes', 'id': '948192800438'}",0.575,1.143,Poetry,"{'name': 'Poetry', 'id': '928308391348'}",0.011,0.513
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Fitness and Exercises,"{'name': 'Fitness and Exercises', 'id': '912503731943'}",0.459,1.047
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Outdoor Sport,"{'name': 'Outdoor Sport', 'id': '899504507492'}",0.367,1.522
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Dancing,"{'name': 'Dancing', 'id': '952036629213'}",0.242,0.832
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Soccer,"{'name': 'Soccer', 'id': '916147467802'}",0.149,0.756
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Running,"{'name': 'Running', 'id': '909056984342'}",0.045,1.215
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Volleyball,"{'name': 'Volleyball', 'id': '935508392210'}",0.041,0.952
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Cycling,"{'name': 'Cycling', 'id': '932527952341'}",0.022,0.507
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,American Football,"{'name': 'American Football', 'id': '893600890503'}",0.012,0.369
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.537,1.236,Handball,"{'name': 'Handball', 'id': '945550448942'}",0.01,
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.525,1.164,Holiday,"{'name': 'Holiday', 'id': '910319220330'}",0.857,0.989
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.525,1.164,Gifts,"{'name': 'Gifts', 'id': '915305016791'}",0.278,0.932
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.525,1.164,Personal Celebration,"{'name': 'Personal Celebration', 'id': '944522520255'}",0.239,0.793
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.525,1.164,Hosting Occasions,"{'name': 'Hosting Occasions', 'id': '945568894404'}",0.133,0.619
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.525,1.164,School Celebration,"{'name': 'School Celebration', 'id': '929052754772'}",0.011,0.343
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.496,1.264,Planting,"{'name': 'Planting', 'id': '916000423671'}",0.725,0.946
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.496,1.264,Garden Design,"{'name': 'Garden Design', 'id': '901468450490'}",0.067,0.422
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.496,1.264,Garden Types,"{'name': 'Garden Types', 'id': '926108676086'}",0.033,0.294
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.484,1.527,Architectural Style,"{'name': 'Architectural Style', 'id': '908797015303'}",0.571,0.862
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.484,1.527,Landscape and Urbanism Architecture,"{'name': 'Landscape and Urbanism Architecture', 'id': '924770706928'}",0.402,1.771
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.484,1.527,Commercial and Office Architecture,"{'name': 'Commercial and Office Architecture', 'id': '958567870080'}",0.372,1.953
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.484,1.527,Residential Architecture,"{'name': 'Residential Architecture', 'id': '917763335785'}",0.143,0.443
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.484,1.527,Educational Architecture,"{'name': 'Educational Architecture', 'id': '916646672676'}",0.046,1.661
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Cake,"{'name': 'Wedding Cake', 'id': '959317080636'}",0.296,0.887
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Outfit,"{'name': 'Wedding Outfit', 'id': '953811328161'}",0.277,0.8
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Beauty,"{'name': 'Wedding Beauty', 'id': '957409379399'}",0.276,1.098
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Decor,"{'name': 'Wedding Decor', 'id': '919736858270'}",0.229,0.855
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Stationery,"{'name': 'Wedding Stationery', 'id': '916276424875'}",0.223,1.244
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Photography and Videography,"{'name': 'Wedding Photography and Videography', 'id': '960441076276'}",0.156,1.26
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Jewelry and Accessories,"{'name': 'Wedding Jewelry and Accessories', 'id': '903419085548'}",0.139,1.037
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Event,"{'name': 'Wedding Event', 'id': '918730759391'}",0.124,0.829
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Theme,"{'name': 'Wedding Theme', 'id': '942351364884'}",0.065,0.629
