Analytics overview
2026-06-25 - 2026-07-25
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Format,All
Curated content,Not included

Date,Impressions
2026-06-25,1788
2026-06-26,1712
2026-06-27,871
2026-06-28,858
2026-06-29,2193
2026-06-30,2432
2026-07-01,2248
2026-07-02,1747
2026-07-03,1638
2026-07-04,944
2026-07-05,808
2026-07-06,1772
2026-07-07,1912
2026-07-08,2078
2026-07-09,2063
2026-07-10,2062
2026-07-11,1302
2026-07-12,2462
2026-07-13,2259
2026-07-14,2380
2026-07-15,1847
2026-07-16,2994
2026-07-17,2359
https://www.pinterest.com/pin/1118229782510940947/,Organic,From you,No,160
https://www.pinterest.com/pin/1118229782515673083/,Organic,From you,No,160
https://www.pinterest.com/pin/1118229782514343814/,Organic,From you,No,159
https://www.pinterest.com/pin/1118229782511703111/,Organic,From you,No,148
https://www.pinterest.com/pin/1118229782511703908/,Organic,From you,No,146
https://www.pinterest.com/pin/1118229782510999780/,Organic,From you,No,145
https://www.pinterest.com/pin/1118229782510797153/,Organic,From you,No,136
https://www.pinterest.com/pin/1118229782511704635/,Organic,From you,No,134
https://www.pinterest.com/pin/1118229782514205210/,Organic,From you,No,133
"Top pins table is restricted to data from the last 6 months. This includes estimated data from 2026-07-24, which gets adjusted as it's verified over time."

